Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
310 Warm ,141,144,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0310,56095-oyibwtdmmu-310.jpg,11125-oyibwtdmmu-pro-22.jpg,310 Warm 
390 Warm,144,147,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0390,44280-slvqofkhal-390.jpg,16062-slvqofkhal-pro-30.jpg,390 Warm
380 Cool,147,150,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0380,51383-hlphberlmz-380.jpg,89207-hlphberlmz-pro-29.jpg,380 Cool
270 Warm ,150,153,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0270,89073-ghirxzwodx-270.jpg,66832-ghirxzwodx-pro-18.jpg,270 Warm 
300 Neutral ,153,156,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0300,746-mvygcplsfc-300.jpg,90722-mvygcplsfc-pro-21.jpg,300 Neutral 
320 Warm Peach,156,159,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0320,102784-qfebexvuhp-320.jpg,89488-qfebexvuhp-pro-23.jpg,320 Warm Peach
260 Neutral   ,159,162,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0260,52826-hdlogcakud-260.jpg,67306-hdlogcakud-pro-17.jpg,260 Neutral 
150 Neutral,162,165,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0150,100693-bccrehdzzv-150.jpg,54603-bccrehdzzv-pro-6.jpg,150 Neutral
360 Neutral Olive,165,168,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0360,4576-jlehvwzlyb-360.jpg,32804-jlehvwzlyb-pro-27.jpg,360 Neutral Olive
250 Warm ,168,171,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0250,77945-wcnslrbwgs-250.jpg,4336-wcnslrbwgs-pro-16.jpg,250 Warm 
190 Neutral,171,174,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0190,57221-kncftqcwbu-190.jpg,62433-kncftqcwbu-pro-10.jpg,190 Neutral
220 Warm Peach  ,174,177,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0220,51776-wcghnjmcql-220.jpg,18158-wcghnjmcql-pro-13.jpg,220 Warm Peach
140 Warm,177,180,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation ,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0140,3570-zinlrtzivb-140.jpg,100860-zinlrtzivb-pro-5.jpg,140 Warm
170 Cool,180,183,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0170,36281-uwltlcibau-170.jpg,57879-uwltlcibau-pro-8.jpg,170 Cool
230 Neutral ,183,186,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0230,72464-cjabqfazoc-230.jpg,101608-cjabqfazoc-pro-14.jpg,230 Neutral 
120 Neutral,186,189,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation ,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0120,25595-cqhutstxrp-120.jpg,14672-cqhutstxrp-pro-3.jpg,120 Neutral
100 Neutral  ,189,192,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation ,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0100,69242-phckpqoqjt-100.jpg,34674-phckpqoqjt-pro-1.jpg,100 Neutral 
110 Cool,192,199,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation ,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0110,16398-duzyxvthur-110.jpg,86773-duzyxvthur-pro-2.jpg,110 Cool
