Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
Y 225 Marble,142,146,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708932,93190-vqdsytslqb-932.jpg,17107-vqdsytslqb-pro-Y 225 Marble.jpg,Y 225 Marble
R540 Dark Brown,146,148,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709138,18116-ktvnsqseqx-138.jpg,95341-ktvnsqseqx-pro-R540 Dark Brown.jpg,R540 Dark Brown
R 230 Ivory,148,150,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708999,10544-llfbtczpsd-999.jpg,33586-llfbtczpsd-pro-R 230 Ivory.jpg,R 230 Ivory
Y305 Soft Beige,150,152,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708965,17175-pzpkxkyvqy-965.jpg,51791-pzpkxkyvqy-pro-Y305 Soft Beige.jpg,Y305 Soft Beige
R330 Warm Ivory,152,154,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708973,58078-uorddgykvi-973.jpg,90729-uorddgykvi-pro-R330 Warm Ivory.jpg,R330 Warm Ivory
R300 Vanella,154,158,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709187,58446-hstqjtbhvv-187.jpg,32519-hstqjtbhvv-pro-R300 Vanella.jpg,R300 Vanella
Y315 Sand,158,162,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708882,11757-sqaqhmsjyd-882.jpg,42703-sqaqhmsjyd-pro-Y315 Sand.jpg,Y315 Sand
Y 215 Yello Alibaster,162,166,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709013,22299-pzhcvjbusl-013.jpg,53541-pzhcvjbusl-pro-Y 215 Yello Alibaster.jpg,Y 215 Yello Alibaster
Y255 Sand Beige,166,168,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708957,91281-umdoikgcpr-957.jpg,13845-umdoikgcpr-pro-Y255 Sand Beige.jpg,Y255 Sand Beige
R250 Beige Nude,168,170,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709005,98549-ycwswbblnz-005.jpg,3194-ycwswbblnz-pro-R250 Beige Nude.jpg,R250 Beige Nude
R360 Neutral,170,174,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709161,77349-xrweieacje-161.jpg,16640-xrweieacje-pro-R360 Neutral.jpg,R360 Neutral
Y205 Alibaster,174,176,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709096,58838-ogeazphinz-096.jpg,98561-ogeazphinz-pro-Y205 Alibaster.jpg,Y205 Alibaster
Y385 Olive Beige,176,178,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709047,103046-jnclkfjjdn-047.jpg,40893-jnclkfjjdn-pro-Y385 Olive Beige.jpg,Y385 Olive Beige
Y 220 Pink Procelin,178,180,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1709112,85772-eupxjgajkr-112.jpg,23168-eupxjgajkr-pro-Y 220 Pink Procelin.jpg,Y 220 Pink Procelin
Y 235 Ivory Beige,180,186,MAKE UP FOREVER     ULTRA HD FOUNDATION  INVISIBLE COVER FOUNDATION,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321:product&skuId=1708924,65169-rrbnxsajjf-924.jpg,102265-rrbnxsajjf-pro-Y 235 Ivory Beige.jpg,Y 235 Ivory Beige
